"Zona","Year","Total","Hombres","Mujeres"
"Reunión","2012",28.59,29.35,27.83
"Rumania","2024",17.037,13.529,20.737
"Federación Rusia","2024",8.424,7.088,9.846
"Rwanda","2024",25.862,21.757,29.832
"Arabia Saudita","2024",16.163,12.552,20.954
"Sudán","2022",46.529,29.563,62.055
"Senegal","2022",31.327,20.036,41.084
"Singapur","2024",6.009,6.533,5.44
"Islas Salomón","2013",7.044,5.096,8.944
"Sierra Leona","2018",33.167,31.227,34.813
"El Salvador","2023",21.518,11.49,30.757
"Somalia","2019",43.734,37.23,49.728
"Serbia","2024",12.598,12.697,12.493
"Sudán del Sur","2008",29.061,25.725,32.283
"Santo Tomé y Príncipe","2017",48.73,47.621,49.819
"Suriname","2016",18.193,14.727,21.849
"Eslovaquia","2024",8.75,8.853,8.641
"Eslovenia","2024",7.125,7.59,6.582
"Suecia","2024",5.51,5.898,5.096
"Eswatini","2023",36.472,33.854,39.031
"Seychelles","2024",16.932,18.045,15.827
"Chad","2018",37.047,24.814,46.376
"Togo","2022",13.02,10.347,15.486
"Tailandia","2024",12.824,9.859,15.804
"Tayikistán","2016",41.328,26.314,57.628
"Tokelau","2022",41.593,33.871,50.98
"Timor-Leste","2022",29.122,29.053,29.192
"Tonga","2023",25.611,23.255,27.826
"Trinidad y Tabago","2023",14.381,11.768,16.912
"Túnez","2023",22.648,24.43,20.791
"Türkiye","2024",22.946,16.22,30.124
"Tuvalu","2022",34.349,33.298,35.537
"Tanzanía, República Unida de","2020",11.671,7.254,15.787
"Uganda","2021",13.765,9.343,17.767
"Ucrania","2017",16.47,13.46,19.65
"Uruguay","2024",14.028,12.959,15.139
"Estados Unidos de América","2024",11.597,11.206,11.994
"Venezuela (República Bolivariana de)","2020",37.13,44.04,30.1
"Viet Nam","2023",10.818,9.947,11.759
"Vanuatu","2020",47.532,44.926,50.188
"Wallis y Futuna","2023",20.221,21.113,19.266
"Samoa","2022",30.09,27.611,32.725
"Yemen","2014",44.77,22.057,69.69
"Sudáfrica","2024",34.61,33.618,35.606
"Zambia","2023",28.926,25.422,32.336
"Zimbabwe","2023",29.98,23.764,36.045
